sale_date,product_id,units_sold,price_per_unit_at_sale,total_sale_value,promotion_flag,promotion_type,payment_method,transaction_id
2025-05-13,T0001,1,532.87,532.87,1,Buy1Get1,Credit Card,243D4401
2025-05-13,T0002,2,763.18,1526.36,0,,Debit Card,DAA0BC32
2025-05-13,T0006,4,781.5,3126.0,1,Festival Offer,Cash,34517071
2025-05-13,T0007,3,602.44,1807.32,1,Festival Offer,UPI,49310961
2025-05-13,T0008,3,558.8,1676.4,1,Buy1Get1,Debit Card,94C52CEB
2025-05-13,T0009,2,256.81,513.62,0,,Cash,EAEAA560
2025-05-13,T0011,1,1121.22,1121.22,0,,Credit Card,B57D18F2
2025-05-13,T0012,1,380.37,380.37,0,,Credit Card,D00AE935
2025-05-13,T0013,1,316.74,316.74,1,Seasonal Discount,Credit Card,8AA24323
2025-05-13,T0015,4,639.09,2556.36,0,,Debit Card,C29DBB06
2025-05-13,T0016,1,980.19,980.19,0,,Credit Card,3882B25B
2025-05-13,T0017,1,166.41,166.41,1,Seasonal Discount,Cash,5BC203F5
2025-05-13,T0018,5,675.42,3377.1,1,Festival Offer,UPI,B562F6EB
2025-05-13,T0019,1,731.66,731.66,1,Seasonal Discount,Credit Card,D427070B
2025-05-13,T0020,2,480.77,961.54,0,,Credit Card,8A86FFE6
2025-05-13,T0022,1,555.76,555.76,0,,Credit Card,1B329784
2025-05-13,T0026,1,874.11,874.11,0,,Cash,68458704
2025-05-13,T0027,1,296.55,296.55,1,Buy1Get1,UPI,C9C8194F
2025-05-13,T0029,3,261.8,785.4,0,,UPI,D794D94A
2025-05-13,T0030,1,725.48,725.48,0,,Cash,D9804AFA
2025-05-13,T0031,4,392.61,1570.44,0,,Debit Card,287B960F
2025-05-13,T0032,2,450.5,901.0,1,Buy1Get1,Debit Card,C2657E48
2025-05-13,T0034,1,1097.62,1097.62,0,,Credit Card,3567A711
2025-05-13,T0035,1,353.75,353.75,0,,Cash,2A35B120
2025-05-13,T0037,1,949.35,949.35,0,,Debit Card,0FE46059
2025-05-13,T0038,4,237.78,951.12,1,Seasonal Discount,UPI,C3157613
2025-05-13,T0039,2,1199.15,2398.3,0,,UPI,626A8E4C
2025-05-13,T0042,1,561.76,561.76,0,,Credit Card,C22FB234
2025-05-13,T0043,4,672.55,2690.2,1,Seasonal Discount,Debit Card,412375E0
2025-05-13,T0046,2,730.86,1461.72,0,,Debit Card,04255D5C
2025-05-13,T0047,1,532.37,532.37,0,,Credit Card,23B6FA53
2025-05-13,T0048,1,752.37,752.37,0,,Debit Card,39F431A1
2025-05-13,T0049,1,1121.68,1121.68,0,,UPI,A7EF49E6
2025-05-13,T0052,1,693.51,693.51,0,,Credit Card,E26F0D97
2025-05-13,T0053,3,628.25,1884.75,1,Buy1Get1,Cash,8AB57F9C
2025-05-13,T0055,2,396.88,793.76,0,,Cash,D280649D
2025-05-13,T0056,1,374.4,374.4,0,,Cash,12517D5D
2025-05-13,T0061,1,863.04,863.04,0,,Cash,08F33E5E
2025-05-13,T0063,1,869.6,869.6,0,,Cash,2508B4F7
2025-05-13,T0064,1,343.46,343.46,0,,UPI,4EFC434B
2025-05-13,T0065,2,1063.69,2127.38,0,,Credit Card,827170D5
2025-05-13,T0066,2,171.23,342.46,1,Seasonal Discount,Debit Card,AB1C2BFD
2025-05-13,T0067,1,421.09,421.09,0,,UPI,84EDD456
2025-05-13,T0068,1,355.31,355.31,1,Festival Offer,Debit Card,88EE782F
2025-05-13,T0070,1,457.71,457.71,0,,Credit Card,BED74128
2025-05-13,T0071,4,1007.41,4029.64,0,,Credit Card,DAE0A1E2
2025-05-13,T0072,1,1057.0,1057.0,0,,Credit Card,1BF2227C
2025-05-13,T0075,1,954.42,954.42,1,Seasonal Discount,Debit Card,FD5C2275
2025-05-13,T0077,3,492.7,1478.1,1,Festival Offer,Credit Card,D50DE50E
2025-05-13,T0078,1,309.67,309.67,1,Buy1Get1,Debit Card,DA5DED6E
2025-05-13,T0079,1,1016.66,1016.66,0,,Debit Card,BD5A2EE3
2025-05-13,T0080,4,515.15,2060.6,1,Buy1Get1,UPI,D729B6F5
2025-05-13,T0082,1,651.52,651.52,0,,Credit Card,E5389CCC
2025-05-13,T0083,3,782.16,2346.48,1,Buy1Get1,Cash,12AF7D8B
2025-05-13,T0084,2,583.13,1166.26,0,,UPI,1938920F
2025-05-13,T0085,1,234.78,234.78,0,,Debit Card,A8350C39
2025-05-13,T0086,2,685.0,1370.0,0,,Debit Card,4FB4A3E4
2025-05-13,T0087,1,616.41,616.41,0,,Cash,F89826C5
2025-05-13,T0088,2,392.36,784.72,0,,Debit Card,EF0A8C00
2025-05-13,T0090,1,556.37,556.37,0,,Credit Card,DF08F5E0
2025-05-13,T0092,1,300.29,300.29,0,,Credit Card,B3D3487C
2025-05-13,T0093,1,770.39,770.39,0,,Debit Card,974D8346
2025-05-13,T0094,2,468.08,936.16,0,,Credit Card,641C451A
2025-05-13,T0095,1,1103.86,1103.86,0,,Cash,591FFD4C
2025-05-13,T0096,3,328.29,984.87,0,,UPI,5CB22FC0
2025-05-13,T0099,1,729.12,729.12,0,,Debit Card,4A6403B1
2025-05-13,T0100,1,626.8,626.8,0,,Debit Card,F216626E
2025-05-13,T0104,2,578.67,1157.34,0,,Credit Card,1E1400F0
2025-05-13,T0105,1,530.14,530.14,1,Festival Offer,UPI,19AF90DA
2025-05-13,T0106,1,326.13,326.13,0,,Cash,B49F7B5D
2025-05-13,T0108,4,509.33,2037.32,1,Seasonal Discount,Cash,84B395A6
2025-05-13,T0109,1,347.76,347.76,0,,Debit Card,2D6EDEB2
2025-05-13,T0111,1,737.04,737.04,0,,Debit Card,D06C77CE
2025-05-13,T0112,2,644.06,1288.12,1,Festival Offer,Debit Card,0230966C
2025-05-13,T0113,3,321.16,963.48,0,,Cash,F67E0766
2025-05-13,T0115,1,681.81,681.81,1,Festival Offer,UPI,BB6B9FF1
2025-05-13,T0116,1,673.54,673.54,0,,Debit Card,36145764
2025-05-13,T0118,4,492.41,1969.64,1,Festival Offer,UPI,9EED484C
2025-05-13,T0119,3,256.8,770.4,1,Buy1Get1,Debit Card,1D90A324
2025-05-13,T0121,4,648.14,2592.56,1,Buy1Get1,Cash,987E28BF
2025-05-13,T0122,1,1147.9,1147.9,0,,Cash,29E3B259
2025-05-13,T0123,3,458.58,1375.74,1,Festival Offer,Debit Card,96F90D10
2025-05-13,T0124,3,292.92,878.76,1,Festival Offer,Cash,8C97FB38
2025-05-13,T0125,1,275.91,275.91,0,,Cash,7B27D4E6
2025-05-13,T0126,5,421.5,2107.5,1,Seasonal Discount,Debit Card,CDAB8A8A
2025-05-13,T0127,1,750.68,750.68,0,,Debit Card,5E1D0DBA
2025-05-13,T0128,1,644.28,644.28,0,,Credit Card,F382A375
2025-05-13,T0129,1,320.22,320.22,0,,Cash,62EB5433
2025-05-13,T0133,1,388.2,388.2,0,,Credit Card,8B9086AE
2025-05-13,T0134,2,488.79,977.58,0,,UPI,D65347A6
2025-05-13,T0135,1,475.67,475.67,0,,Cash,020CC453
2025-05-13,T0136,1,936.02,936.02,1,Seasonal Discount,Debit Card,4C2737D7
2025-05-13,T0138,1,430.18,430.18,0,,Cash,9984CAC1
2025-05-13,T0140,1,424.64,424.64,0,,Cash,FEE7932D
2025-05-13,T0141,3,364.69,1094.07,1,Seasonal Discount,UPI,1103B9C8
2025-05-13,T0142,1,246.79,246.79,0,,Debit Card,730352C4
2025-05-13,T0144,4,222.89,891.56,0,,Cash,3C42342D
2025-05-13,T0145,1,697.74,697.74,0,,Cash,95291ADB
