product_id,product_name,category,subcategory,unit_of_measure,base_price_per_unit,cost_price_per_unit,supplier_id,supplier_name,hsn_code,shelf_life_days
P0001,T-shirt 80,Clothing,T-shirt,pcs,1149.01,937.13,S002,Wholesaler B,6165,629
P0002,Shampoo 83,Cosmetics,Shampoo,ml,230.2,179.05,S002,Wholesaler B,3393,453
P0003,Eyeliner 46,Cosmetics,Eyeliner,ml,744.61,455.06,S001,Local Vendor A,3343,605
P0004,Pants 48,Clothing,Pants,pcs,790.95,573.56,S001,Local Vendor A,6157,413
P0005,Shirt 62,Clothing,Shirt,pcs,879.13,712.2,S002,Wholesaler B,6138,253
P0006,Eyeliner 41,Cosmetics,Eyeliner,ml,160.48,134.03,S001,Local Vendor A,3305,225
P0007,Pants 6,Clothing,Pants,pcs,1079.01,804.65,S001,Local Vendor A,6186,278
P0008,Kurta 42,Clothing,Kurta,pcs,1277.41,911.52,S002,Wholesaler B,6158,675
P0009,Kurta 18,Clothing,Kurta,pcs,1072.92,803.85,S002,Wholesaler B,6100,729
P0010,Saree 74,Clothing,Saree,pcs,941.76,608.56,S002,Wholesaler B,6193,188
P0011,Pants 65,Clothing,Pants,pcs,1114.22,817.21,S001,Local Vendor A,6200,671
P0012,Lipstick 74,Cosmetics,Lipstick,ml,444.71,290.56,S002,Wholesaler B,3369,558
P0013,Eyeliner 7,Cosmetics,Eyeliner,ml,245.07,148.16,S002,Wholesaler B,3348,600
P0014,Foundation 44,Cosmetics,Foundation,ml,524.66,386.68,S001,Local Vendor A,3334,389
P0015,Perfume 15,Cosmetics,Perfume,ml,459.88,354.56,S001,Local Vendor A,3398,354
P0016,T-shirt 29,Clothing,T-shirt,pcs,978.25,782.4,S002,Wholesaler B,6187,438
P0017,Shampoo 4,Cosmetics,Shampoo,ml,392.62,276.48,S001,Local Vendor A,3334,276
P0018,Eyeliner 40,Cosmetics,Eyeliner,ml,502.78,354.06,S001,Local Vendor A,3381,229
P0019,Kurta 68,Clothing,Kurta,pcs,972.48,597.22,S002,Wholesaler B,6103,402
P0020,Perfume 62,Cosmetics,Perfume,ml,150.73,91.91,S002,Wholesaler B,3350,364
P0021,Pants 90,Clothing,Pants,pcs,1262.57,992.27,S002,Wholesaler B,6156,213
P0022,Lipstick 64,Cosmetics,Lipstick,ml,437.3,327.6,S001,Local Vendor A,3320,676
P0023,Shampoo 22,Cosmetics,Shampoo,ml,708.74,511.89,S001,Local Vendor A,3314,672
P0024,Foundation 2,Cosmetics,Foundation,ml,106.84,90.56,S003,Distributor C,3327,641
P0025,Lipstick 84,Cosmetics,Lipstick,ml,681.72,469.45,S003,Distributor C,3349,612
P0026,Foundation 40,Cosmetics,Foundation,ml,461.47,390.34,S003,Distributor C,3384,465
P0027,Pants 5,Clothing,Pants,pcs,930.08,592.41,S001,Local Vendor A,6121,665
