sale_date,product_id,units_sold,price_per_unit_at_sale,total_sale_value,promotion_flag,promotion_type,payment_method,transaction_id
2025-05-13,P0002,1,230.2,230.2,0,None,Debit Card,B487DA2C
2025-05-13,P0003,1,744.61,744.61,0,None,UPI,FE5D7827
2025-05-13,P0006,3,160.48,481.44,0,None,Credit Card,81FBA25C
2025-05-13,P0007,1,1079.01,1079.01,0,None,UPI,BDC6983B
2025-05-13,P0008,1,1277.41,1277.41,0,None,Credit Card,A0CC6BF7
2025-05-13,P0010,2,753.41,1506.82,1,Clearance Sale,Cash,34CFC961
2025-05-13,P0012,2,444.71,889.42,0,None,Cash,93B6C78F
2025-05-13,P0013,2,245.07,490.14,0,None,Credit Card,63635687
2025-05-13,P0018,1,402.22,402.22,1,Buy1Get1,Credit Card,FBDB491E
2025-05-13,P0019,1,972.48,972.48,0,None,Cash,770FC920
2025-05-13,P0020,1,150.73,150.73,0,None,UPI,AFD29555
2025-05-13,P0021,3,1010.06,3030.17,1,Clearance Sale,Debit Card,342B1BCE
2025-05-13,P0023,2,566.99,1133.98,1,Buy1Get1,Debit Card,1D758B5C
2025-05-13,P0026,4,369.18,1476.7,1,Clearance Sale,Credit Card,7553B361
2025-05-13,P0027,1,930.08,930.08,0,None,UPI,5F6181EC
2025-05-13,P0028,1,535.9,535.9,0,None,UPI,D386064E
2025-05-13,P0029,2,787.2,1574.4,0,None,Credit Card,03654DEF
2025-05-13,P0031,1,116.87,116.87,0,None,Credit Card,E5358F24
2025-05-13,P0033,1,626.5,626.5,1,Clearance Sale,UPI,0AC6BE02
2025-05-13,P0034,1,1451.05,1451.05,0,None,Cash,B182F480
2025-05-13,P0036,2,502.59,1005.18,0,None,Debit Card,851CA890
2025-05-13,P0038,1,358.53,358.53,0,None,UPI,0D5B696C
2025-05-13,P0039,1,562.27,562.27,0,None,Cash,1519B5E8
2025-05-13,P0040,2,532.85,1065.7,0,None,UPI,582A3A61
2025-05-13,P0041,2,232.31,464.62,0,None,Credit Card,6AC32299
2025-05-13,P0043,1,847.66,847.66,1,Buy1Get1,Credit Card,7F386E08
2025-05-13,P0044,1,715.77,715.77,0,None,UPI,5F2A8D32
2025-05-13,P0046,2,586.37,1172.74,1,Buy1Get1,Debit Card,C3886A63
2025-05-13,P0047,3,150.74,452.22,0,None,Credit Card,03193A4F
2025-05-13,P0052,1,538.31,538.31,1,Buy1Get1,UPI,69D5E99B
2025-05-13,P0053,2,1339.52,2679.04,0,None,Credit Card,1877D536
2025-05-13,P0054,1,852.12,852.12,0,None,Credit Card,249E02BA
2025-05-13,P0056,1,140.16,140.16,0,None,Credit Card,F358C3A3
2025-05-13,P0057,2,1364.83,2729.66,0,None,Credit Card,FAA70BC3
2025-05-13,P0059,1,638.46,638.46,1,Clearance Sale,UPI,E82F1F9A
2025-05-13,P0061,2,683.29,1366.58,0,None,UPI,3520E69B
2025-05-13,P0062,2,1108.23,2216.46,0,None,Credit Card,8F57F6E0
2025-05-13,P0063,3,1136.23,3408.7,1,Clearance Sale,Cash,A550991B
2025-05-13,P0065,3,384.14,1152.41,1,Clearance Sale,Credit Card,DC3BE859
2025-05-13,P0066,3,570.17,1710.51,0,None,Cash,3872A49F
2025-05-13,P0067,1,268.9,268.9,0,None,UPI,E1662081
2025-05-13,P0068,3,411.79,1235.37,0,None,UPI,0D67B66D
2025-05-13,P0069,2,283.27,566.54,1,Buy1Get1,UPI,99DACEB2
2025-05-13,P0070,2,649.39,1298.78,0,None,Credit Card,16D41A72
2025-05-13,P0072,2,586.01,1172.02,0,None,Debit Card,A9943B0E
2025-05-13,P0073,1,1241.41,1241.41,0,None,Debit Card,132957EE
2025-05-13,P0074,1,877.88,877.88,1,Clearance Sale,Credit Card,777B8ECB
2025-05-13,P0075,2,377.04,754.08,1,Clearance Sale,Debit Card,16CC1137
2025-05-13,P0076,1,324.35,324.35,1,Clearance Sale,Debit Card,847CAE38
2025-05-13,P0077,2,284.2,568.4,0,None,UPI,27178F2C
2025-05-13,P0080,1,674.58,674.58,0,None,Credit Card,FA77BF81
2025-05-13,P0083,3,481.18,1443.54,0,None,UPI,D03D4DE0
2025-05-13,P0086,2,1376.4,2752.8,0,None,Cash,EF07512C
2025-05-13,P0087,3,522.41,1567.22,1,Festival Offer,Cash,44044EE3
2025-05-13,P0089,2,95.99,191.98,1,Festival Offer,UPI,2343247A
2025-05-13,P0090,1,1274.68,1274.68,0,None,Credit Card,0E0E7282
2025-05-13,P0091,2,544.45,1088.9,0,None,Credit Card,1531EC62
2025-05-13,P0092,1,677.76,677.76,0,None,Credit Card,C0EFDC1F
2025-05-13,P0094,3,474.22,1422.65,1,Buy1Get1,Debit Card,92FB36AD
2025-05-13,P0096,2,412.3,824.6,0,None,UPI,63C0310E
2025-05-13,P0097,1,219.52,219.52,0,None,Debit Card,4CD24E14
2025-05-13,P0098,1,277.35,277.35,1,Buy1Get1,UPI,CD01001C
2025-05-13,P0099,1,455.18,455.18,1,Buy1Get1,Credit Card,E06FB312
2025-05-13,P0101,3,334.91,1004.73,0,None,Credit Card,1BD12A65
2025-05-13,P0102,3,124.89,374.66,1,Festival Offer,Credit Card,AB22CFF5
2025-05-13,P0103,1,1414.45,1414.45,0,None,Credit Card,52D0341A
2025-05-13,P0105,7,213.84,1496.88,1,Festival Offer,Cash,F9ED6426
2025-05-13,P0106,1,685.39,685.39,1,Festival Offer,Cash,C7D74E25
2025-05-13,P0108,2,1052.83,2105.66,0,None,UPI,70B419F6
2025-05-13,P0109,3,481.74,1445.21,1,Festival Offer,UPI,EEA2C560
2025-05-13,P0112,2,280.14,560.27,1,Buy1Get1,Credit Card,76B022DD
2025-05-13,P0113,3,518.09,1554.27,0,None,Credit Card,7F6977F2
2025-05-13,P0114,1,478.29,478.29,0,None,Debit Card,7EB70A16
2025-05-13,P0115,1,661.12,661.12,0,None,Credit Card,3A1EF33E
2025-05-13,P0116,1,1014.89,1014.89,1,Festival Offer,Credit Card,424B4D8C
2025-05-13,P0118,1,760.28,760.28,0,None,Cash,0D1B7C6E
2025-05-13,P0119,1,365.06,365.06,0,None,Debit Card,ADFBAE99
2025-05-13,P0120,2,1119.82,2239.64,0,None,UPI,489C5F5B
2025-05-13,P0121,1,464.78,464.78,0,None,Credit Card,418A60D0
2025-05-13,P0122,2,305.5,610.99,1,Festival Offer,Debit Card,E9CCDBB2
2025-05-13,P0123,1,1285.32,1285.32,0,None,Cash,73DE71A5
2025-05-13,P0124,1,197.18,197.18,0,None,UPI,C9A7C8D7
2025-05-13,P0125,2,395.34,790.68,0,None,UPI,DF289FF1
2025-05-13,P0126,2,1094.08,2188.16,0,None,Cash,9359081C
2025-05-13,P0127,2,201.09,402.18,0,None,Debit Card,0CD4DF81
2025-05-13,P0133,1,433.44,433.44,0,None,Cash,E7B52317
2025-05-13,P0134,1,593.83,593.83,0,None,Cash,0136DD71
