sale_date,product_id,units_sold,price_per_unit_at_sale,total_sale_value,promotion_flag,promotion_type,payment_method,transaction_id
2024-01-01,P0001,3.87,304.43,1178.14,Yes,Bundle Offer,Card,TRN2024010168997
2024-01-01,P0002,4.67,159.71,745.85,Yes,Discount,Cash,TRN2024010165930
2024-01-01,P0003,1.91,77.79,148.58,No,,Cash,TRN2024010116940
2024-01-01,P0004,4.23,16.68,70.56,Yes,Bundle Offer,UPI,TRN2024010110692
2024-01-01,P0005,5.6,418.44,2343.26,No,,Card,TRN2024010195466
2024-01-01,P0006,0.1,274.54,27.45,No,,UPI,TRN2024010166332
2024-01-01,P0007,4.25,181.47,771.25,No,,Cash,TRN2024010118971
2024-01-01,P0008,0.1,113.84,11.38,No,,Card,TRN2024010176686
2024-01-01,P0009,0.78,141.72,110.54,No,,Cash,TRN2024010128231
2024-01-01,P0010,2.89,333.14,962.77,No,,Cash,TRN2024010179604
2024-01-01,P0011,3.91,266.04,1040.22,No,,Cash,TRN2024010117022
2024-01-01,P0012,0.1,191.6,19.16,No,,Cash,TRN2024010152874
2024-01-01,P0013,5.44,24.62,133.93,No,,Cash,TRN2024010174830
2024-01-01,P0014,1.9,220.55,419.05,No,,Card,TRN2024010110479
2024-01-01,P0015,5.97,152.5,910.42,Yes,Bundle Offer,Cash,TRN2024010169194
2024-01-01,P0016,1.88,220.6,414.73,No,,UPI,TRN2024010191330
2024-01-01,P0017,3.78,166.45,629.18,Yes,Discount,Card,TRN2024010143138
2024-01-01,P0018,3.59,70.33,252.48,Yes,Bundle Offer,Card,TRN2024010187605
2024-01-01,P0019,0.48,261.81,125.67,No,,Cash,TRN2024010172947
2024-01-01,P0020,2.49,93.43,232.64,Yes,Discount,Cash,TRN2024010170599
2024-01-01,P0021,1.98,9.41,18.63,Yes,Discount,Card,TRN2024010126998
2024-01-01,P0022,0.1,146.96,14.7,Yes,Discount,UPI,TRN2024010142278
2024-01-01,P0023,0.1,198.42,19.84,Yes,Clearance,Cash,TRN2024010112765
2024-01-01,P0024,0.1,222.18,22.22,No,,Cash,TRN2024010119523
2024-01-01,P0025,3.5,174.62,611.17,No,,UPI,TRN2024010119352
2024-01-01,P0026,3.66,49.85,182.45,Yes,Clearance,Card,TRN2024010195452
2024-01-01,P0027,1.94,140.49,272.55,No,,Cash,TRN2024010150884
2024-01-01,P0028,5.06,35.1,177.61,Yes,Discount,UPI,TRN2024010193338
2024-01-01,P0029,5.39,201.09,1083.88,No,,UPI,TRN2024010162333
2024-01-01,P0030,5.17,10.0,51.7,No,,Card,TRN2024010190352
2024-01-01,P0031,0.28,180.83,50.63,Yes,Clearance,Cash,TRN2024010136245
2024-01-01,P0032,5.79,8.8,50.95,Yes,Discount,Cash,TRN2024010162277
2024-01-01,P0033,2.56,145.23,371.79,No,,Card,TRN2024010197923
2024-01-01,P0034,0.1,190.47,19.05,No,,Card,TRN2024010174852
2024-01-01,P0035,2.46,96.3,236.9,No,,Cash,TRN2024010196614
2024-01-01,P0036,2.64,127.37,336.26,No,,Card,TRN2024010145532
2024-01-01,P0037,1.91,195.79,373.96,No,,UPI,TRN2024010162086
2024-01-01,P0038,1.51,19.02,28.72,No,,Card,TRN2024010170646
2024-01-01,P0039,5.89,86.17,507.54,No,,Cash,TRN2024010160936
2024-01-01,P0040,7.05,135.24,953.44,No,,Card,TRN2024010184904
2024-01-01,P0041,4.6,78.92,363.03,No,,Cash,TRN2024010184009
2024-01-01,P0042,3.07,106.34,326.46,Yes,Clearance,Cash,TRN2024010183559
2024-01-01,P0043,6.63,10.0,66.3,No,,Cash,TRN2024010153112
2024-01-01,P0044,4.67,236.7,1105.39,No,,Cash,TRN2024010154189
2024-01-01,P0045,2.52,153.32,386.37,No,,UPI,TRN2024010117013
2024-01-01,P0046,3.19,324.05,1033.72,No,,Card,TRN2024010117138
2024-01-01,P0047,3.8,92.52,351.58,No,,Cash,TRN2024010159817
2024-01-01,P0048,4.26,100.39,427.66,No,,Card,TRN2024010191737
2024-01-01,P0049,3.41,46.55,158.74,Yes,Discount,Card,TRN2024010198529
2024-01-01,P0050,3.0,15.34,46.02,No,,Cash,TRN2024010155645
2024-01-01,P0051,3.92,312.54,1225.16,No,,UPI,TRN2024010149393
2024-01-01,P0052,3.63,99.95,362.82,No,,Cash,TRN2024010113329
2024-01-01,P0054,0.96,213.57,205.03,Yes,Discount,Card,TRN2024010146294
2024-01-01,P0055,1.43,129.95,185.83,Yes,Bundle Offer,UPI,TRN2024010119631
2024-01-01,P0056,1.83,120.02,219.64,No,,Card,TRN2024010155959
2024-01-01,P0057,3.05,166.21,506.94,No,,Cash,TRN2024010117578
2024-01-01,P0058,3.49,152.41,531.91,No,,UPI,TRN2024010148467
2024-01-01,P0059,1.99,117.28,233.39,No,,Card,TRN2024010143479
2024-01-01,P0060,1.63,249.89,407.32,No,,Card,TRN2024010149906
2024-01-01,P0061,4.29,124.25,533.03,No,,Cash,TRN2024010159972
2024-01-01,P0062,4.18,291.34,1217.8,Yes,Bundle Offer,UPI,TRN2024010146147
2024-01-01,P0063,4.73,10.0,47.3,No,,UPI,TRN2024010196527
2024-01-01,P0064,4.4,230.77,1015.39,No,,Card,TRN2024010155426
2024-01-01,P0065,5.48,35.83,196.35,Yes,Discount,UPI,TRN2024010136459
2024-01-01,P0066,4.8,297.91,1429.97,No,,Cash,TRN2024010171592
2024-01-01,P0067,1.74,215.63,375.2,No,,Card,TRN2024010158726
2024-01-01,P0069,0.1,174.42,17.44,Yes,Bundle Offer,UPI,TRN2024010192750
2024-01-01,P0070,1.39,62.09,86.31,No,,Cash,TRN2024010146305
2024-01-01,P0071,5.66,20.11,113.82,No,,UPI,TRN2024010124720
2024-01-01,P0072,4.62,151.8,701.32,Yes,Bundle Offer,UPI,TRN2024010197960
2024-01-01,P0074,0.82,43.0,35.26,No,,UPI,TRN2024010119823
2024-01-01,P0075,2.98,131.88,393.0,No,,Cash,TRN2024010113463
2024-01-01,P0076,4.13,99.36,410.36,Yes,Clearance,UPI,TRN2024010132644
2024-01-01,P0077,2.66,195.04,518.81,No,,UPI,TRN2024010111085
2024-01-01,P0078,5.48,10.0,54.8,No,,Cash,TRN2024010163414
2024-01-01,P0079,3.85,141.16,543.47,No,,UPI,TRN2024010154314
2024-01-01,P0080,3.78,228.47,863.62,Yes,Discount,Cash,TRN2024010177581
2024-01-01,P0082,3.53,161.85,571.33,No,,UPI,TRN2024010165925
2024-01-01,P0083,3.07,174.97,537.16,Yes,Bundle Offer,Cash,TRN2024010195684
2024-01-01,P0084,2.29,231.79,530.8,Yes,Clearance,Card,TRN2024010144441
2024-01-01,P0085,3.39,159.97,542.3,No,,Cash,TRN2024010110288
2024-01-01,P0086,3.5,155.31,543.59,No,,Cash,TRN2024010155570
2024-01-01,P0087,1.36,250.43,340.58,No,,Card,TRN2024010143920
2024-01-01,P0088,0.12,10.0,1.2,No,,UPI,TRN2024010174771
2024-01-01,P0089,6.05,190.49,1152.46,No,,Card,TRN2024010192741
2024-01-01,P0090,6.84,256.29,1753.02,No,,Cash,TRN2024010132566
2024-01-01,P0091,1.54,300.89,463.37,No,,Cash,TRN2024010175582
2024-01-01,P0092,3.37,289.91,977.0,No,,Card,TRN2024010199218
2024-01-01,P0093,5.42,146.71,795.17,No,,UPI,TRN2024010160628
2024-01-01,P0094,5.65,120.92,683.2,Yes,Clearance,UPI,TRN2024010160373
2024-01-01,P0095,6.81,280.11,1907.55,Yes,Discount,UPI,TRN2024010132534
2024-01-01,P0096,3.72,144.54,537.69,No,,Cash,TRN2024010130200
2024-01-01,P0097,3.69,140.96,520.14,No,,Card,TRN2024010166439
2024-01-01,P0098,5.03,235.56,1184.87,No,,UPI,TRN2024010151271
2024-01-01,P0099,4.09,195.38,799.1,Yes,Clearance,UPI,TRN2024010157812
2024-01-01,P0100,2.56,159.2,407.55,No,,Cash,TRN2024010163706
2024-01-02,P0001,3.87,330.57,1279.31,No,,Cash,TRN2024010260249
2024-01-02,P0002,0.1,186.84,18.68,No,,Card,TRN2024010298768
2024-01-02,P0004,5.72,19.71,112.74,No,,Cash,TRN2024010214558
2024-01-02,P0005,2.04,368.94,752.64,Yes,Bundle Offer,Cash,TRN2024010216490
2024-01-02,P0006,2.0,274.54,549.08,No,,Cash,TRN2024010299556
2024-01-02,P0007,0.23,154.26,35.48,Yes,Clearance,Card,TRN2024010268204
2024-01-02,P0008,0.1,113.84,11.38,No,,UPI,TRN2024010244885
2024-01-02,P0009,0.47,141.72,66.61,No,,Cash,TRN2024010290696
2024-01-02,P0010,2.71,333.14,902.81,No,,Card,TRN2024010244320
2024-01-02,P0011,4.77,266.04,1269.01,No,,Cash,TRN2024010296703
2024-01-02,P0012,0.1,191.6,19.16,No,,Cash,TRN2024010214769
2024-01-02,P0013,0.1,24.62,2.46,No,,Card,TRN2024010295184
2024-01-02,P0014,2.68,220.55,591.07,No,,UPI,TRN2024010268931
2024-01-02,P0015,4.2,162.79,683.72,Yes,Clearance,Card,TRN2024010271984
2024-01-02,P0016,3.24,220.6,714.74,No,,Cash,TRN2024010285456
2024-01-02,P0017,3.67,189.81,696.6,No,,Cash,TRN2024010224525
2024-01-02,P0018,1.12,63.28,70.87,Yes,Discount,Card,TRN2024010229180
2024-01-02,P0019,4.72,261.81,1235.74,No,,UPI,TRN2024010237156
2024-01-02,P0020,3.4,101.04,343.54,No,,Card,TRN2024010281484
2024-01-02,P0021,2.31,10.0,23.1,No,,Cash,TRN2024010238246
2024-01-02,P0022,5.22,172.88,902.43,No,,Cash,TRN2024010212985
2024-01-02,P0023,2.98,245.08,730.34,No,,UPI,TRN2024010235192
2024-01-02,P0024,3.34,222.18,742.08,No,,Card,TRN2024010246375
2024-01-02,P0025,6.48,162.16,1050.8,Yes,Clearance,Cash,TRN2024010233112
2024-01-02,P0026,0.78,56.82,44.32,No,,Cash,TRN2024010222962
2024-01-02,P0027,3.36,140.49,472.05,No,,UPI,TRN2024010295660
2024-01-02,P0028,3.43,43.47,149.1,No,,Cash,TRN2024010279925
2024-01-02,P0029,5.21,201.09,1047.68,No,,UPI,TRN2024010257783
2024-01-02,P0030,4.7,10.0,47.0,No,,Card,TRN2024010243355
2024-01-02,P0031,3.99,187.28,747.25,Yes,Bundle Offer,UPI,TRN2024010218661
2024-01-02,P0032,3.0,8.8,26.4,Yes,Discount,Card,TRN2024010230533
2024-01-02,P0033,3.23,145.23,469.09,No,,Cash,TRN2024010223386
2024-01-02,P0034,0.66,190.47,125.71,No,,UPI,TRN2024010283465
2024-01-02,P0035,3.62,96.3,348.61,No,,Card,TRN2024010272658
