ProductID,ProductName,TotalUnitsSold,AvgInventory,TurnoverRatio,TurnoverClass,Month,Quarter,PredictedTurnoverClass,Category_Cleaning Supplies,Category_Dairy,Category_Fruits,Category_Personal Care,Category_Snacks,Category_Staples,Category_Vegetables
P0001,Atque Beverage (Local),181.73,41.79747252747259,4.347870553190811,fast,12,4,fast,False,False,False,False,False,False,False
P0002,Repellat Cleaning Supplie (Premium),154.08,41.782307692307725,3.6876852550766768,slow,12,4,slow,True,False,False,False,False,False,False
P0003,Amul Milk 1L (Local),164.07,48.46813186813191,3.385110869269484,slow,12,4,slow,False,True,False,False,False,False,False
P0004,Facere Beverage (Local),155.82,46.15560439560442,3.3759713915660337,slow,12,4,slow,False,False,False,False,False,False,False
P0005,Atque Snack (Local),185.77,41.57241758241761,4.468587847500322,fast,12,4,fast,False,False,False,False,True,False,False
P0006,Potatoes (Premium),138.79999999999998,43.46978021978016,3.1930228148897215,slow,12,4,slow,False,False,False,False,False,False,True
P0007,Molestiae Personal Car (Premium),176.96,42.01637362637369,4.211691412819172,medium,12,4,medium,False,False,False,True,False,False,False
P0008,Nobis Beverage (BrandX),165.07,50.36428571428573,3.2775209190185777,slow,12,4,slow,False,False,False,False,False,False,False
P0009,Consectetur Snack (Local),187.93,49.340329670329766,3.808851729521571,slow,12,4,slow,False,False,False,False,True,False,False
P0010,Tempora Cleaning Supplie (Premium),169.49,42.42912087912088,3.994662073788218,medium,12,4,medium,True,False,False,False,False,False,False
P0011,Repudiandae Beverage (Local),165.12,42.416043956043964,3.8928665806531835,medium,12,4,medium,False,False,False,False,False,False,False
P0012,Quaerat Beverage (Premium),165.85999999999999,45.694945054945066,3.6297231521028115,slow,12,4,slow,False,False,False,False,False,False,False
P0013,Adipisci Beverage (Local),153.34,40.002087912087944,3.8332999101695213,slow,12,4,slow,False,False,False,False,False,False,False
P0014,Apples (Premium),176.22,40.93483516483518,4.304890914801599,fast,12,4,fast,False,False,True,False,False,False,False
P0015,Mangoes (BrandX),189.07,44.9672527472528,4.204615324460774,medium,12,4,medium,False,False,True,False,False,False,False
P0016,Wheat Flour 10kg (Premium),181.16,48.73406593406594,3.717317579146748,slow,12,4,slow,False,False,False,False,False,True,False
P0017,Repellendus Personal Car (Local),197.0,44.0063736263737,4.476624265216319,fast,12,4,fast,False,False,False,True,False,False,False
P0018,Bananas (Premium),169.35,42.72109890109885,3.9640834237914246,medium,12,4,medium,False,False,True,False,False,False,False
P0019,Quae Snack (Premium),184.69,39.361098901098906,4.692196233241947,fast,12,4,fast,False,False,False,False,True,False,False
P0020,Turmeric Powder 200g (Premium),177.79,43.04032967032971,4.130776909977094,medium,12,4,medium,False,False,False,False,False,True,False
P0021,Bananas (BrandX),189.67,44.77549450549458,4.236022451448857,medium,12,4,medium,False,False,True,False,False,False,False
P0022,Ladyfinger (Local),160.35999999999999,48.165274725274756,3.3293695699788253,slow,12,4,slow,False,False,False,False,False,False,True
P0023,Turmeric Powder 200g (Premium),168.68,53.14758241758241,3.1738038181055037,slow,12,4,slow,False,False,False,False,False,True,False
P0024,Quam Cleaning Supplie (Premium),135.6,41.107692307692275,3.298652694610781,slow,12,4,slow,True,False,False,False,False,False,False
P0025,Toor Dal 1kg (Premium),215.35,39.11670329670331,5.505320792668879,fast,12,4,fast,False,False,False,False,False,True,False
P0026,Laudantium Personal Car (Premium),128.38,48.95219780219788,2.6225584501588184,slow,12,4,slow,False,False,False,True,False,False,False
P0027,Oranges (Local),194.12,47.75593406593398,4.064835162306515,medium,12,4,medium,False,False,True,False,False,False,False
P0028,Dicta Beverage (BrandX),174.51,37.98494505494502,4.5941885593772005,fast,12,4,fast,False,False,False,False,False,False,False
P0029,Turmeric Powder 200g (Premium),209.14,46.825934065934106,4.466328417613979,fast,12,4,fast,False,False,False,False,False,True,False
P0030,Voluptatibus Beverage (Local),176.0,46.973516483516484,3.7467920900016143,slow,12,4,slow,False,False,False,False,False,False,False
P0031,Asperiores Personal Car (Premium),169.39000000000001,43.9301098901099,3.855897479512912,slow,12,4,slow,False,False,False,True,False,False,False
P0032,Fresh Tomatoes (BrandX),170.39,41.784945054945055,4.07778446940509,medium,12,4,medium,False,False,False,False,False,False,True
P0033,Toor Dal 1kg (BrandX),192.6,49.38934065934068,3.899626871483145,medium,12,4,medium,False,False,False,False,False,True,False
P0034,Sunflower Oil 1L (Premium),192.26,42.12153846153848,4.56441067971803,fast,12,4,fast,False,False,False,False,False,True,False
P0035,Basmati Rice 5kg (Local),172.33,42.161538461538434,4.087374566684915,medium,12,4,medium,False,False,False,False,False,True,False
P0036,Necessitatibus Cleaning Supplie (Premium),176.62,47.77527472527472,3.6968913526008906,slow,12,4,slow,True,False,False,False,False,False,False
P0037,Dignissimos Personal Car (BrandX),172.94,43.24142857142855,3.999405332188049,medium,12,4,medium,False,False,False,True,False,False,False
P0038,Doloremque Personal Car (Local),213.34,47.637252747252745,4.478427862578691,fast,12,4,fast,False,False,False,True,False,False,False
P0039,Turmeric Powder 200g (Local),187.16,42.67065934065939,4.386152051361947,fast,12,4,fast,False,False,False,False,False,True,False
P0040,Non Snack (Local),142.55,38.11681318681325,3.7398194676284233,slow,12,4,slow,False,False,False,False,True,False,False
P0041,Mangoes (Premium),176.21,44.90494505494518,3.924066709900022,medium,12,4,medium,False,False,True,False,False,False,False
P0042,Accusantium Beverage (BrandX),189.64,45.79879120879127,4.140720639011053,medium,12,4,medium,False,False,False,False,False,False,False
P0043,Adipisci Personal Car (BrandX),186.01,39.593956043956084,4.697939245916649,fast,12,4,fast,False,False,False,True,False,False,False
P0044,Expedita Snack (BrandX),138.22,47.210659340659284,2.9277286513336334,slow,12,4,slow,False,False,False,False,True,False,False
P0045,Animi Beverage (Local),214.4,42.994175824175706,4.98672194291587,fast,12,4,fast,False,False,False,False,False,False,False
P0046,Oranges (Premium),180.67,40.26241758241759,4.487311265652804,fast,12,4,fast,False,False,True,False,False,False,False
P0047,Sunflower Oil 1L (Premium),167.37,48.49516483516486,3.45127190656823,slow,12,4,slow,False,False,False,False,False,True,False
P0048,Alias Snack (BrandX),193.47,41.1262637362638,4.704293131043763,fast,12,4,fast,False,False,False,False,True,False,False
